pc1,pc2,sparsity
-0.33973208,0.08240659,4
0.23265597,0.4120434,2
-0.23746203,-0.31562203,32
-0.20977469,-0.31532744,2
-0.27710217,-0.10058352,4
0.53721094,-0.026441272,1
0.44482774,-0.040320523,2
0.0057890527,0.30675972,1
-0.27329937,0.062426005,32
0.011021302,-0.11236912,1
-0.14702076,-0.2343857,8
-0.12990132,-0.29149386,1
-0.06724479,-0.0649302,8
0.25750795,0.032389812,2
0.13731697,-0.010158438,1
-0.19190735,0.16880901,1
0.17735785,0.23061204,1
-0.27422258,-0.039664764,256
0.1437006,-0.0644698,1
0.5492737,-0.058347676,1
-0.14208351,-0.12620975,1
-0.37716088,-0.006215448,32
-0.04719148,-0.06692959,2
-0.15587308,-0.28986767,2
-0.19543472,-0.14004631,1
-0.03987368,-0.03431434,40
0.027722372,0.17196447,4
-0.10250264,0.18761116,1
-0.25640696,0.18349534,2
0.13419743,0.33783126,1
-0.08590935,0.14291093,16
-0.29945564,0.11005452,1
0.44477585,0.23559943,1
-0.12832452,-0.10384791,1
-0.03028154,0.2106572,2
0.33668306,0.24605599,1
-0.20548838,0.119597025,1
-0.0058234064,-0.010978507,2
-0.19643243,-0.20908493,2
0.28114456,-0.2255349,4
0.54703987,-0.19929159,2
-0.048498794,-0.14828977,4
-0.26660287,0.08763164,1
-0.19330435,0.20809104,8
-0.28889066,0.00537414,2
-0.2327315,-0.23518725,1
0.14917795,-0.03933399,2
-0.16153376,0.12524669,4
-0.034508605,-0.055626377,3
-0.2348873,0.29344502,1
-0.32806146,0.21600285,256
0.0394521,-0.24832256,1
-0.30695355,0.116649896,1
0.14709777,-0.12571357,4
-0.061900355,-0.024350401,16
0.3777425,0.06229483,1
0.46832284,-0.071568884,1
-0.11426849,-0.05057346,2
0.16615885,0.039089564,2
0.077724926,-0.18231194,2
0.3230651,-0.027323864,2
-0.031297542,0.3061652,4
-0.13610134,0.39826584,4
0.008882061,-0.026577642,2
-0.43075684,-0.14209543,2
0.5994242,0.1616396,1
-0.24764809,0.09953105,64
0.05704957,-0.09123027,1
0.32098678,-0.09278163,1
-0.009087701,0.008161866,2
0.38270748,-0.04801066,1
0.09036243,0.3553137,2
-0.33525902,0.14740026,256
-0.37228143,-0.102425836,512
-0.25393844,-0.19831653,2
-0.27971956,-0.23160714,256
-0.056377746,-0.09919984,1
-0.26378208,-0.0070309695,2
-0.1713298,-0.22086675,1
0.604764,-0.04226246,1
-0.16057302,-0.2734912,4
-0.389992,-0.25302047,2
-0.21823972,-0.30468717,1
-0.16953003,0.091165066,2
0.13761865,0.08043853,2
-0.101995036,0.16968428,2
0.22171175,-0.09992828,2
-0.4187096,0.10120911,1
-0.0868037,-0.051296327,1
0.2752319,0.114409626,1
-0.23265998,-0.045527343,1
-0.039164234,0.37848416,1
0.45482385,-0.23323658,2
-0.23417258,-0.14292873,2
-0.20349462,0.1330021,1
-0.35337406,-0.014689237,2
-0.30020082,-0.09309649,48
-0.041522644,0.10993314,12
0.43658066,0.20073915,1
-0.12293732,-0.3914913,4
0.3361927,0.011447327,1
-0.16408123,-0.07920482,2
-0.09817394,-0.24609634,1
0.19543853,0.09477902,1
-0.10725825,0.01919885,4
-0.23451236,-0.23346111,2
-0.34072635,0.15390106,8
-0.25855163,0.13092658,4
-0.16427147,-0.08680069,2
0.300424,-0.07787329,2
-0.0040747765,0.012400077,1
-0.12532376,-0.122407325,64
-0.15515095,-0.33093265,64
